"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.Dor-out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1","DESeq2",1779.80679046553,0.0119140160626172,0.363313634363072,0.0327926478275546,0.973839941244884,0.979280387844017,"deseq2",0.979280387844017,0.0119140160626172,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV1","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.24301753040539,1.45533290913894,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,7.49209524658922,7.12214690844472,7.92323677083439,0.908982871521062,0.559561117477565,1.45533290913894,0.0468878823465655,0.0755513942679723,0.24301753040539,0.0385416666666667,0.100280055476786,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV1013","DESeq2",37.1770613875614,-7.62534167075156,2.94663116049299,-2.58781681704466,0.00965863296115159,0.0197562946932646,"deseq2",0.0197562946932646,-7.62534167075156,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1013","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.78910344311431,-0.960047943623151,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,0.800320192816685,2.53324558694732,-4.84718007927648,-6.39108987161528,6.17893618351139,-0.960047943623151,0.187502608145345,0.219537282931532,0.78910344311431,0.372916666666666,0.874414222482464,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1026","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0569194738326212,3.88633554769212,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1026",3.88633554769212,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE
"ASV1026","DESeq2",122.292075158602,11.2719756561226,1.22093944445649,9.23221516619961,2.65091890655614e-20,2.98228376987566e-19,"deseq2",2.98228376987566e-19,11.2719756561226,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV1026","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0297159413359472,4.76795187860591,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,-4.48585850888896,-6.09418972754403,5.70505850360651,11.5935066404103,2.47059024844983,4.76795187860591,0.000547999460257121,0.00412275925355461,0.0297159413359472,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV104","DESeq2",72.909358659018,0.811338073267785,0.441801329237328,1.83643194253938,0.0662937989833325,0.101990459974358,"deseq2",0.101990459974358,0.811338073267785,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV104","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0738139332945325,2.91573347101921,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,2.55142009284402,2.15118936475089,3.8632845818384,1.74072549399002,0.581396107115107,2.91573347101921,0.000547999460257121,0.0161396420901972,0.0738139332945325,0,0,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV108","DESeq2",117.412462435709,0.144882673246852,0.184827488082104,0.783880551265688,0.433110202733196,0.512893661131416,"deseq2",0.512893661131416,0.144882673246852,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
