"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.pollution_cruise","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV175","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.00997193207805902,-1.89481449506089,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,-0.433807090996953,6.03753695564997,-1.68727122308783,-7.67975797554283,3.50945791116455,-1.89481449506089,0.0833364154379065,0.00124974609792184,0.00997193207805902,0.0442234848484849,0.190919816093662,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2,TRUE
"ASV178","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.149291486125221,3.54083497391766,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV178",3.54083497391766,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE
"ASV178","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.711545593332835,0.669640922301079,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,2.74417525084968,0.952947224299566,4.52150510034998,3.38109203455239,4.963344507173,0.669640922301079,0.176167051036588,0.253475240495134,0.711545593332835,0.122916666666667,0.411721827027905,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV178","DESeq2",31.825648755687,2.87374601187485,1.6649609912202,1.7429707575523,0.081338722935977,0.140987119755693,"deseq2",0.140987119755693,2.87374601187485,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV180","DESeq2",59.5203652907113,0.169165373708856,1.83124036046582,0.0924929662600011,0.926306379378439,0.932282549567977,"deseq2",0.932282549567977,0.169165373708856,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV180","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.663093681753493,-0.090046588573742,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,4.51029002182296,4.58486148679024,3.16436492990411,-0.496328215599517,5.54182471861138,-0.090046588573742,0.44791678569462,0.261291197662172,0.663093681753493,0.801846590909091,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1836","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.557161238478632,-0.776299835080476,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax",NA,-1.74064407434404,4.16605457367279,-2.24837061252966,-5.65975177418346,5.92219875757823,-0.776299835080476,0.203126036487036,0.252901866970966,0.557161238478632,0.223484848484848,0.594036187552072,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1836","DESeq2",11.4620670265761,-5.7121792614171,2.10498158229659,-2.5682996162645,0.010219878013993,0.0265716828363819,"deseq2",0.0265716828363819,-5.7121792614171,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV192","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",1,0.208075629262799,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,3.32841411161593,2.94958727767233,4.14127053008833,1.5019794939787,6.5719156801825,0.208075629262799,0.31088132274071,0.723211788428968,1,0.28844696969697,0.727533423389021,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV192","DESeq2",22.5665359718027,0.663032553679468,1.81225800899604,0.36761889494603,0.713157423845409,0.76200382273893,"deseq2",0.76200382273893,0.663032553679468,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1924","DESeq2",25.034801135462,5.77954393604332,1.9876950438301,3.07322307172898,0.00211760128671913,0.010010478809945,"deseq2",0.010010478809945,5.77954393604332,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1924","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.288231764746131,1.18971286722124,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,0.232647953216262,-3.82618801587477,3.03707817212869,6.49284962861801,4.72922382231245,1.18971286722124,0.114585480082425,0.0665077163491303,0.288231764746131,0.071875,0.259594142612831,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV2","DESeq2",16.1556714538982,-0.575934483355816,1.84939955918191,-0.92894736910719,0.352916362567465,0.466567394580717,"deseq2",0.466567394580717,-0.575934483355816,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
