"TaxaID","rab.all","rab.win.control","rab.win.pollution_cruise","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",6.28704404964001,7.18756431593308,6.03008562927738,-0.972122689450112,1.02183809983051,-0.800002983852224,0.207254882531613,0.196558956275373,0.52254749376919,0.192329545454545,0.567030035591119,"ALDEx2",0.52254749376919,-0.800002983852224,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",3.2328043090619,3.99421192089139,-0.180707499572654,-4.03477996591752,4.42554423616806,-0.72104120998199,0.244792446817752,0.0415656084266594,0.151252592727259,0.219412878787879,0.642815581931087,"ALDEx2",0.151252592727259,-0.72104120998199,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",5.6167877287012,6.07728552201873,5.01788992696825,-1.06217381939818,1.25214074123419,-0.734084596424461,0.223959230903001,0.119318824960263,0.35566338579164,0.204545454545454,0.593995056917787,"ALDEx2",0.35566338579164,-0.734084596424461,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",6.50986141991093,6.12931694833133,6.61694240784759,-0.115694321943118,1.37170409493091,-0.0959402860249107,0.453125106902353,0.798373455712993,0.998922746056973,0.904261363636364,1,"ALDEx2",0.998922746056973,-0.0959402860249107,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",5.89268001093498,6.09595766995563,5.64049994393866,-0.485011314178771,1.13163404195434,-0.353976704871994,0.316062652070532,0.478081238324324,0.902888488876269,0.497111742424243,0.919986661567553,"ALDEx2",0.902888488876269,-0.353976704871994,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",5.76064160560789,5.99927289926379,5.57562265542085,-0.55503485221278,4.21987748910985,-0.146743212747064,0.338542074137571,0.0918142235419828,0.293544627921047,0.40501893939394,0.876533124618507,"ALDEx2",0.293544627921047,-0.146743212747064,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV9",-0.491924599086773,1.98804954171487,-1.18704080113649,-2.00703431057736,6.17747547594555,-0.248123036611134,0.406250219647385,0.64649516395733,0.934369546900144,0.661979166666667,0.969200785516328,"ALDEx2",0.934369546900144,-0.248123036611134,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Glaciecola",NA
"ASV13",4.56567531960015,5.19503374536527,4.11570240022654,-1.12737627114616,4.17614094228213,-0.277783394099568,0.274612031782545,0.0918418286911394,0.292384125177158,0.327935606060606,0.800278632110164,"ALDEx2",0.292384125177158,-0.277783394099568,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",4.18247291643584,4.80976417675434,3.93213724088179,-0.904079136047884,1.11654573851917,-0.51702152775459,0.170985754107053,0.103655635653493,0.32063274275072,0.141666666666667,0.426772139980502,"ALDEx2",0.32063274275072,-0.51702152775459,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV21",2.81888038279429,3.29827519955743,-0.567411930002224,-4.19014174689611,4.58969559111816,-0.695035080186419,0.341969304696059,0.0875465936821087,0.280684690624166,0.590530303030303,0.996181873508623,"ALDEx2",0.280684690624166,-0.695035080186419,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA
"ASV23",4.65853174122694,-3.96815608970846,6.42517847738688,9.93154266647632,2.76497262887561,3.28285915945172,0.000365399848804012,0.0215777467516359,0.147369785667243,0,0,"ALDEx2",0.147369785667243,3.28285915945172,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
"ASV24",-0.848763655352671,5.61929668372637,-2.16774867985891,-8.98987067523133,3.32439307073928,-2.95494205806614,0.000365399848804012,0.00219632913097971,0.0143955918425573,0.0121212121212121,0.0714587725053998,"ALDEx2",0.0143955918425573,-2.95494205806614,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV27",0.305035344754626,4.28628493125098,-1.3628443789569,-6.57566327203037,4.6342455367074,-1.28688104525728,0.0833364154379065,0.0179341779338211,0.0742053363402386,0.050284090909091,0.208612935541325,"ALDEx2",0.0742053363402386,-1.28688104525728,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
"ASV30",-1.62180127583286,4.92876159745919,-2.23767891351204,-5.75732664740318,5.56598336111728,-0.9419487909947,0.182292871160296,0.220577915978561,0.528115567790007,0.198200757575757,0.539901858512606,"ALDEx2",0.528115567790007,-0.9419487909947,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV31",-0.386263571806222,-4.08675182436126,1.97351394292973,5.71380714127491,5.46520573129458,0.98965991983387,0.114585480082425,0.0733863605231335,0.30718769541739,0.0834280303030303,0.286362409597504,"ALDEx2",0.30718769541739,0.98965991983387,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA
"ASV34",3.91549133589713,4.27049242572199,2.59959652370665,-3.05564217901065,4.30650937517606,-0.589576021124642,0.217617507910972,0.0494331064236648,0.175745423584515,0.27092803030303,0.688499974696988,"ALDEx2",0.175745423584515,-0.589576021124642,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV35",6.10133057744005,-4.06152879443213,7.72189068018596,11.6917635657569,4.67082381380707,2.28350957438835,0.0414572280738825,0.00954444611894927,0.0881797843046837,0.0113636363636364,0.0752333543785039,"ALDEx2",0.0881797843046837,2.28350957438835,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"ASV37",4.19164453477086,3.99504284429048,4.82877487917876,0.824563307833451,3.57964352716853,0.139543556958195,0.393782632277474,0.436954157161586,0.904743192414434,0.554640151515153,1,"ALDEx2",0.904743192414434,0.139543556958195,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV39",3.62371024948949,3.75109812489509,3.24737848649416,-0.503416176001138,3.30441576543093,-0.134351459058934,0.404145300346379,0.212935701701142,0.564908413057489,0.713683712121212,0.97901051551741,"ALDEx2",0.564908413057489,-0.134351459058934,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
"ASV40",-1.19418831989215,3.00741480461094,-1.86539534145191,-3.80194493669447,6.35635307038858,-0.562529509423228,0.296875549929299,0.386827688913095,0.71303173795968,0.435132575757576,0.825809413007844,"ALDEx2",0.71303173795968,-0.562529509423228,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV42",-1.21040727688777,2.56165526277885,-2.3725500739718,-5.60873736093669,3.02423341714215,-1.69881955575505,0.0052604506079491,0.00631094624576208,0.0313418006662014,0.0133522727272728,0.0763618669955144,"ALDEx2",0.0313418006662014,-1.69881955575505,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA
"ASV43",3.46378477831793,2.68062781318163,4.24153827353391,1.61093508867243,6.71004179432958,0.23799414751555,0.31088132274071,0.612819251985975,0.994102413962655,0.31751893939394,0.766743947957077,"ALDEx2",0.994102413962655,0.23799414751555,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
"ASV45",4.25778025242475,4.32399311195034,2.89735924277638,-2.16543811014781,4.68778733835158,-0.280301873971267,0.461139983838242,0.12386362404576,0.369483155768002,0.851089015151516,1,"ALDEx2",0.369483155768002,-0.280301873971267,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV47",-1.14150549048588,4.09314052340077,-1.64908792028701,-4.4254083964628,6.44144199759988,-0.600326144893548,0.264249382845496,0.351207022275005,0.6781033731634,0.320833333333333,0.732946123930232,"ALDEx2",0.6781033731634,-0.600326144893548,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV49",0.538258673336128,5.79058906277342,-1.05052642097185,-7.46259387599028,4.21432730371496,-1.53212630516355,0.109377266019354,0.0121409873647281,0.0544313748487245,0.0760416666666667,0.274661694805001,"ALDEx2",0.0544313748487245,-1.53212630516355,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV50",-0.417156867189387,2.94920904958557,-1.79030007709787,-5.79042130059337,4.56941907886757,-0.970751835364074,0.12435426095506,0.0392619558326329,0.142985061505098,0.0859848484848483,0.302426226763243,"ALDEx2",0.142985061505098,-0.970751835364074,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV51",-1.07467962253107,3.92411260871358,-2.37154452056384,-6.26209932679498,2.81772828413686,-2.26297612423822,0.000365399848804012,0.000790223466102611,0.00649078417476394,0.0121212121212121,0.0714587725053998,"ALDEx2",0.00649078417476394,-2.26297612423822,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV52",5.11615648194067,-3.95347672114151,5.7797661322348,9.53513456116785,2.99302300650756,3.16924132170072,0.000365399848804012,0.0159043304387862,0.129374171152953,0,0,"ALDEx2",0.129374171152953,3.16924132170072,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV53",-0.372957270228013,4.57444740366034,-1.74071950645789,-7.32815858008678,4.69986186345754,-1.43887779938174,0.093752701946487,0.0230316835946934,0.0916237929999435,0.0649621212121213,0.245357586561565,"ALDEx2",0.0916237929999435,-1.43887779938174,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV56",0.577995338829117,4.41533057806912,-1.08366721118167,-5.25019717724166,4.15058254022715,-1.12569976486773,0.0989608748927561,0.0184905093671052,0.0755233157960818,0.0731060606060607,0.268479422640856,"ALDEx2",0.0755233157960818,-1.12569976486773,TRUE,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA
"ASV60",0.180891269787351,-1.9628946647481,2.0888120697992,2.0332715083708,5.81769901068934,0.409857712690014,0.307292178288741,0.51265696324667,0.957554666803388,0.327320075757576,0.724959140602451,"ALDEx2",0.957554666803388,0.409857712690014,FALSE,"Bacteria","Marinimicrobia (SAR406 clade)",NA,NA,NA,NA,NA
"ASV62",4.01096698668388,3.48532203806081,4.34689894165422,1.82921357143048,3.67591480703046,0.385683283566252,0.322917124382044,0.466355580809571,0.939709757813982,0.360132575757576,0.829182017530849,"ALDEx2",0.939709757813982,0.385683283566252,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas",NA
"ASV64",4.29454980600384,2.05640813490013,4.75101434290398,1.17766327181696,3.40796270267,0.310363112926207,0.364583663678488,0.798395051690466,0.997699450944391,0.387594696969697,0.89210337134315,"ALDEx2",0.997699450944391,0.310363112926207,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV66",2.34725804689887,4.82864989266912,-0.456167344882487,-4.56307056732855,4.70980645723267,-0.76136036851271,0.29533733758434,0.0841025371579847,0.269684829371729,0.37310606060606,0.962774786724943,"ALDEx2",0.269684829371729,-0.76136036851271,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA
"ASV68",-0.390879198075866,-4.17045051801459,3.37108456462389,6.86385805227348,5.6678507874844,1.08420417339996,0.160623169477903,0.0696682090142519,0.293205051961848,0.0810606060606061,0.281233193555904,"ALDEx2",0.293205051961848,1.08420417339996,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Halomonas",NA
"ASV71",3.16679633841366,1.64799815363134,4.58200337899138,2.49406680044557,5.79590830090769,0.436599373296649,0.29166723654711,0.41753572157388,0.936311763239918,0.193939393939394,0.55852601660045,"ALDEx2",0.936311763239918,0.436599373296649,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV72",-0.552975953185847,3.25827203819348,-1.15261821241797,-2.54105345061292,5.84298785603898,-0.490411942404575,0.259068059517974,0.403391805163842,0.742734060710322,0.315625,0.740550457839182,"ALDEx2",0.742734060710322,-0.490411942404575,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA
"ASV74",-1.2752907209752,3.35282346448866,-1.76594106131108,-4.2468976964151,6.67726483909288,-0.504218060757816,0.333333757183061,0.506051673739538,0.85940530986441,0.568181818181819,0.944055626232556,"ALDEx2",0.85940530986441,-0.504218060757816,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV76",-0.22523688372871,7.2889460736602,-1.52651931102615,-9.17251371758351,3.33947595942916,-2.65452836473762,0.000365399848804012,0.000498430110767112,0.0055720638003883,0.0121212121212121,0.0714587725053998,"ALDEx2",0.0055720638003883,-2.65452836473762,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV77",5.66154213827184,-3.9962481899689,6.26129456759373,10.1536553070144,2.50515475126141,3.99463836724729,0.000365399848804012,0.0202983182412062,0.153758732093897,0,0,"ALDEx2",0.153758732093897,3.99463836724729,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter",NA
"ASV81",-0.32568077608356,4.06565814212275,-1.71560353008062,-6.34112279426198,3.75544020294216,-1.55851098337409,0.093752701946487,0.008100742921684,0.0390044205206373,0.0463068181818183,0.198810272778159,"ALDEx2",0.0390044205206373,-1.55851098337409,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV85",2.51409910298273,2.60039143052633,2.155140893328,-0.0786170410902995,2.93624652723989,-0.0238138535450405,0.484375035355462,0.25830537949214,0.62606620929262,0.858617424242425,0.997160048559501,"ALDEx2",0.62606620929262,-0.0238138535450405,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV89",0.0382399757585592,-4.11512336012846,3.45671498182568,7.3496476350095,5.82862123142436,1.16969763781072,0.0932669384237902,0.0595770583039455,0.263227212369048,0.0707386363636364,0.250675346261348,"ALDEx2",0.263227212369048,1.16969763781072,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"ASV92",4.06269204739138,4.31024819672763,3.75931750926523,-0.0966989578445725,3.49857871683764,-0.0342622327830656,0.484375035355462,0.76819727382143,0.997072443922094,0.870123106060607,0.999159564393939,"ALDEx2",0.997072443922094,-0.0342622327830656,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Coraliomargarita",NA
"ASV93",-2.29340256158642,-4.24428402560962,-1.41735595591498,3.5054208519062,5.51269518494498,0.556723874633221,0.244792446817752,0.257666297016126,0.63674840586879,0.268276515151515,0.573845513410702,"ALDEx2",0.63674840586879,0.556723874633221,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA
"ASV94",-1.86843379092991,-4.32919069527778,-0.57458654984435,4.4064343547346,5.40432092627315,0.780171654603893,0.196892263794227,0.170531900693874,0.491729938763288,0.195785984848485,0.472048620049069,"ALDEx2",0.491729938763288,0.780171654603893,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA
