"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","rab.all","rab.win.control","rab.win.Dor.in","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV51","DESeq2",32.2446012667202,-8.21843539686059,1.58021939885676,-5.20081920447654,1.98412037792269e-07,9.48927137267374e-07,"deseq2",9.48927137267374e-07,-8.21843539686059,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00375552223036324,0,"control",0.00375552223036324,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,"Clade Ib",6.02276713330249
"ASV523","DESeq2",46.3983409733429,-8.75082015408173,1.84813917349006,-4.734935701599,2.19124556091844e-06,6.88677176288651e-06,"deseq2",6.88677176288651e-06,-8.75082015408173,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00540045096787335,0,"control",0.00540045096787335,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia","aquaemaris","Colwellia",5.16198430989423
"ASV53","DESeq2",274.898327141187,-11.3115815378662,2.44434584625708,-4.62765183379722,3.69835077103543e-06,1.01704646203474e-05,"deseq2",1.01704646203474e-05,-11.3115815378662,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.0320155532870732,0,"control",0.0320155532870732,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,"Colwellia",4.99265920662062
"ASV537","DESeq2",50.7318345841033,9.41039511845179,1.70836220490699,5.50843087690769,3.62046351021891e-08,2.4890686632755e-07,"deseq2",2.4890686632755e-07,9.41039511845179,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0,0.0100302160687087,"contrast",0.0100302160687087,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria",NA,"Ruegeria",6.6039631228087
"ASV543","DESeq2",33.2494330188455,-8.25368191071857,1.90906215619469,-4.32342230656886,1.53627255923013e-05,3.31352904931988e-05,"deseq2",3.31352904931988e-05,-8.25368191071857,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00392129002706355,0,"control",0.00392129002706355,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Dokdonia","lutea","Dokdonia",4.4797092176475
"ASV56","DESeq2",59.165298210917,-9.09079197852955,2.21445734420082,-4.10520076276761,4.03963893611197e-05,7.93500505307708e-05,"deseq2",7.93500505307708e-05,-9.09079197852955,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00699521949089371,0,"control",0.00699521949089371,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA,"Candidatus Nitrosopelagicus",4.10045279234671
"ASV566","DESeq2",32.5582379901001,-1.7316910747273,0.839856647829023,-2.06188887020614,0.0392183173989006,0.0490228967486257,"deseq2",0.0490228967486257,-1.7316910747273,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00314781090803412,0.00105273224580213,"control",0.00314781090803412,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Psychrobium",NA,"Psychrobium",1.30960102999185
"ASV578","DESeq2",96.2058187557318,10.3336255998289,1.54432832723676,6.69133979969058,2.21136501788303e-11,4.05416919945223e-10,"deseq2",4.05416919945223e-10,10.3336255998289,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0,0.0190540742663916,"contrast",0.0190540742663916,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Actibacter",NA,"Actibacter",9.39209813012376
"ASV579","DESeq2",41.457333440733,-8.58309268120384,3.63764135348625,-2.35952141707922,0.0182985245890152,0.0261407494128788,"deseq2",0.0261407494128788,-8.58309268120384,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.0047618492245385,0,"control",0.0047618492245385,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,NA,1.58268196605874
"ASV582","DESeq2",39.8920634285859,-8.53178773505444,2.19776822819567,-3.88202342066746,0.000103590897499128,0.000196245422876436,"deseq2",0.000196245422876436,-8.53178773505444,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00464387932549564,0,"control",0.00464387932549564,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Oleiphilus",NA,"Oleiphilus",3.70720046371743
