"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV1","DESeq2",461.95041819735,0.902352408656653,0.837519664430197,1.07728231765554,0.281354159419906,0.318374443554104,"deseq2",0.318374443554104,0.902352408656653,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.0329588503765482,0.0265695149775521,"control",0.0329588503765482,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.497061801075343
"ASV1030","DESeq2",28.2141496867984,-5.23133451123546,1.95570575562428,-2.67291387513714,0.00751955531198871,0.0184766216237437,"deseq2",0.0184766216237437,-5.23133451123546,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00325825138696003,0,"control",0.00325825138696003,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,"Aliiglaciecola",1.73337743486345
"ASV1047","DESeq2",98.0595549087939,8.05815748230785,2.26254671473504,3.20985589099644,0.00132801534039852,0.00601101680390907,"deseq2",0.00601101680390907,8.05815748230785,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0,0.0144991536027085,"contrast",0.0144991536027085,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA,NA,NA,2.2210520579514
"ASV111","DESeq2",47.1228572432253,-2.41008943099641,2.34993980722006,-1.60338851646544,0.108848904761422,0.156016763491371,"deseq2",0.156016763491371,-2.41008943099641,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00598490996131337,0,"control",0.00598490996131337,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,0.80682873561564
"ASV1133","DESeq2",52.381305925768,-5.65336238786744,1.9754979891422,-2.81138713076361,0.00493283943734407,0.0132570059878622,"deseq2",0.0132570059878622,-5.65336238786744,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00645860311179179,0,"control",0.00645860311179179,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,"Aurantivirga",1.87755454755791
"ASV116","DESeq2",46.6769423998964,-1.53317458769578,2.35116568045624,-3.54636227770545,0.000390588843682147,0.00321214217320493,"deseq2",0.00321214217320493,-1.53317458769578,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00503902402061074,0,"control",0.00503902402061074,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,"Sedimentitalea",2.49320524058143
"ASV1194","DESeq2",41.5226201514972,-5.08449868921822,2.05043916663461,-2.46119012041712,0.0138476963653444,0.0253383380302047,"deseq2",0.0253383380302047,-5.08449868921822,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00512642473358222,0,"control",0.00512642473358222,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,1.59622187437689
"ASV1218","DESeq2",37.7308300499561,-4.92479342712644,2.06947419966733,-2.37156308332189,0.0177130226783518,0.0304663990067651,"deseq2",0.0304663990067651,-4.92479342712644,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00451800899342625,0,"control",0.00451800899342625,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureicoccus","marinus","Aureicoccus",1.51617887442551
"ASV1232","DESeq2",33.8675473185215,-2.27051138069659,2.356915637326,-1.46844653140613,0.141982969986587,0.187338455037717,"deseq2",0.187338455037717,-2.27051138069659,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00436006961258227,0,"control",0.00436006961258227,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,0.727373065676158
"ASV1233","DESeq2",44.30629057403,-5.92733516183375,1.86173179735709,-3.18317045275086,0.00145671831233212,0.00615963216280038,"deseq2",0.00615963216280038,-5.92733516183375,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.0054230284346084,0,"control",0.0054230284346084,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,NA,2.21044522199724
