"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","rab.all","rab.win.control","rab.win.S.2","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV1334","DESeq2",22.075590674988,-7.33438729040259,1.75069782175954,-4.18940790309042,2.79683262288085e-05,9.02204071897048e-05,"deseq2",9.02204071897048e-05,-7.33438729040259,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00303419663710719,0,"control",0.00303419663710719,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Dasania",NA,"Dasania",4.04469521714251
"ASV138","DESeq2",92.1989519463847,10.5028097275114,1.82149030982993,5.76605303406308,8.11495326823596e-09,2.88703811338457e-07,"deseq2",2.88703811338457e-07,10.5028097275114,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0,0.019993789967617,"contrast",0.019993789967617,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA,NA,6.53954748272013
"ASV1387","DESeq2",29.2969158683214,-0.206293369659463,2.1467478222993,-0.0960957628635251,0.923444516479863,0.923444516479863,"deseq2",0.923444516479863,-0.206293369659463,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00256239386967189,0.00275498241500586,"contrast",0.00275498241500586,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Maricaulis",NA,"Maricaulis",0.034589193250817
"ASV141","DESeq2",19.1605981487749,-7.11584967532329,1.80976316756051,-3.93192313937694,8.42690107236385e-05,0.00023408058534344,"deseq2",0.00023408058534344,-7.11584967532329,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00260779967750312,0,"control",0.00260779967750312,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,"Synechococcus CC9902",3.63063460521779
"ASV1415","DESeq2",34.0250862425808,-7.94152971836532,1.9367088796217,-4.10052837673597,4.12207883626099e-05,0.000128814963633156,"deseq2",0.000128814963633156,-7.94152971836532,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00459277392996912,0,"control",0.00459277392996912,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA,"Yoonia-Loktanella",3.89003368475694
"ASV1498","DESeq2",21.8875567431352,-7.30316797199835,1.95012409218266,-3.74497602551249,0.00018041100289092,0.000410025006570273,"deseq2",0.000410025006570273,-7.30316797199835,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00295822325786239,0,"control",0.00295822325786239,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter","guineae","Marinobacter",3.38718965575757
"ASV1510","DESeq2",29.8978066899526,-7.75418361696816,1.83225354013226,-4.23204728337348,2.31573708079315e-05,7.71912360264385e-05,"deseq2",7.71912360264385e-05,-7.75418361696816,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00405578148810098,0,"control",0.00405578148810098,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA,"Yoonia-Loktanella",4.11243200486395
"ASV160","DESeq2",71.5207511156367,-9.01795657127079,1.65179645274464,-5.45948416119098,4.77519931953423e-08,7.95866553255705e-07,"deseq2",7.95866553255705e-07,-9.01795657127079,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00975858915422139,0,"control",0.00975858915422139,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","dokdonensis","Polaribacter",6.09915974638697
"ASV169","DESeq2",40.2151659749421,-3.75101468256253,3.17494794950165,-1.18144131564465,0.237427453259515,0.276078434022691,"deseq2",0.276078434022691,-3.75101468256253,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00530217482913785,0.000361757105943152,"control",0.00530217482913785,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea","eurytherma","Thalassotalea",0.558967517122948
"ASV172","DESeq2",54.2189837206769,9.73669615374791,4.32909768468297,2.24912830869996,0.0245043339590949,0.0401710392772048,"deseq2",0.0401710392772048,9.73669615374791,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.0102842377260982,"contrast",0.0102842377260982,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Jiella","aquimaris","Jiella",1.39608693235803
