"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","rab.all","rab.win.control","rab.win.DOR1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV169","DESeq2",81.1731542137748,0.388379343175937,1.73867006977182,0.223178529492571,0.823396561520433,0.833570647442365,"deseq2",0.833570647442365,0.388379343175937,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00530217482913785,0.00667638702171129,"contrast",0.00667638702171129,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea","eurytherma","Thalassotalea",0.0790575866048313
"ASV1733","DESeq2",29.6395275013644,-7.07682242613979,1.41640206867181,-4.99663825421388,5.83383553076257e-07,1.73299231943241e-06,"deseq2",1.73299231943241e-06,-7.07682242613979,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00397575379457161,0,"control",0.00397575379457161,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tateyamaria",NA,"Tateyamaria",5.76120336206134
"ASV175","DESeq2",156.697951698676,-9.15431660018338,1.48425233752125,-6.16544838618798,7.02836930888851e-10,5.07046642998385e-09,"deseq2",5.07046642998385e-09,-9.15431660018338,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.0201835129798666,0,"control",0.0201835129798666,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,"Colwellia",8.29495208827005
"ASV1750","DESeq2",28.9712058185927,8.04573915617875,1.31729726366596,6.10564676264074,1.0238522330674e-09,6.82234547866604e-09,"deseq2",6.82234547866604e-09,8.04573915617875,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00498744987532794,"contrast",0.00498744987532794,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","BD1-7 clade",NA,"BD1-7 clade",8.1660662920117
"ASV180","DESeq2",53.1246280724584,-2.34106883215124,1.60704727933601,-1.45939150139812,0.144457383774216,0.169653439083672,"deseq2",0.169653439083672,-2.34106883215124,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00651120882563335,0.000795492210805436,"control",0.00651120882563335,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,"Pseudoalteromonas",0.770437332246844
"ASV1836","DESeq2",38.9037649988161,-5.56003782281788,2.15558304157268,-2.63882020239531,0.00831950915992933,0.0123569180169539,"deseq2",0.0123569180169539,-5.56003782281788,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00475929225851361,0,"control",0.00475929225851361,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax",NA,"Alcanivorax",1.90808983467883
"ASV1892","DESeq2",35.4059071456267,0.0100140330835694,0.943769175270041,0.0106117393691297,0.991533215900438,0.991533215900438,"deseq2",0.991533215900438,0.0100140330835694,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00278778270624356,0.0024019692665416,"control",0.00278778270624356,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae",NA,NA,NA,0.00369273255232906
"ASV1959","DESeq2",37.3355680547427,8.4169690407788,1.28840057528611,6.53105464023545,6.53081656067572e-11,8.24515590785309e-10,"deseq2",8.24515590785309e-10,8.4169690407788,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00638575829788757,"contrast",0.00638575829788757,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA,"Tenacibaculum",9.08380112785693
"ASV2","DESeq2",34.2938123644637,-7.34138713574746,1.37555723561099,-5.33699296577415,9.45007046681201e-08,3.40877541838576e-07,"deseq2",3.40877541838576e-07,-7.34138713574746,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00446230148378429,0,"control",0.00446230148378429,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus","Prochlorococcus MIT9313",6.4674016106129
"ASV20","DESeq2",60.6045208448102,-1.85616150836435,1.49567969665795,-1.2421379929195,0.214185652865264,0.24582671522036,"deseq2",0.24582671522036,-1.85616150836435,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00676687792174908,0.00132582035134239,"control",0.00676687792174908,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.609370921928313
"ASV2111","DESeq2",40.214665588121,8.30599242446872,1.44312782517278,5.72315884390016,1.04561417992022e-08,4.80031964417918e-08,"deseq2",4.80031964417918e-08,8.30599242446872,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00697321279918513,"contrast",0.00697321279918513,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Spongiivirga",NA,"Spongiivirga",7.31872984281583
"ASV223","DESeq2",92.7149650587744,-8.52338240333577,1.45781611728918,-5.84530844808934,5.05630473520474e-09,2.8371487680871e-08,"deseq2",2.8371487680871e-08,-8.52338240333577,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.0118902614101523,0,"control",0.0118902614101523,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella",NA,"Aestuariicella",7.54711789104047
"ASV2291","DESeq2",32.0566409696781,8.15935090099234,1.3370595347199,6.09700112384866,1.08076760058076e-09,6.82234547866604e-09,"deseq2",6.82234547866604e-09,8.15935090099234,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00538358125548379,"contrast",0.00538358125548379,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA,NA,NA,8.1660662920117
"ASV23","DESeq2",46.2085850949188,8.45264043095824,1.4653606484823,5.72741977466577,1.01969632216293e-08,4.80031964417918e-08,"deseq2",4.80031964417918e-08,8.45264043095824,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00772384183286154,"contrast",0.00772384183286154,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,"Sphingobium",7.31872984281583
"ASV2303","DESeq2",32.2712112696251,-5.30119658820156,2.17915288882803,-2.4943310248588,0.0126194795315153,0.016994232435774,"deseq2",0.016994232435774,-5.30119658820156,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00420326117277115,0,"control",0.00420326117277115,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,"Winogradskyella",1.76969844605214
"ASV236","DESeq2",112.243321265682,-2.39892118720649,2.11520640473389,-1.1642369420381,0.244328003122539,0.274190314615294,"deseq2",0.274190314615294,-2.39892118720649,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.0134912869552687,0.00122260885921189,"control",0.0134912869552687,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,"Aurantivirga",0.56194789011333
"ASV24","DESeq2",277.740675949646,-9.42227991766954,1.70215974690529,-5.49299196864313,3.95180770724586e-08,1.66305241013263e-07,"deseq2",1.66305241013263e-07,-9.42227991766954,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.0353401887892061,0,"control",0.0353401887892061,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA,"Pseudophaeobacter",6.77909406402598
"ASV248","DESeq2",18.3865775569897,-4.9979894304239,2.1901615382881,-2.27079490952501,0.0231593962614446,0.0296088483848848,"deseq2",0.0296088483848848,-4.9979894304239,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00225398240476077,0,"control",0.00225398240476077,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","australica","Alteromonas",1.52857848385744
"ASV257","DESeq2",43.9415211282096,8.59475395784748,1.3178186713847,6.50689147707153,7.6721794827792e-11,8.60989030845221e-10,"deseq2",8.60989030845221e-10,8.59475395784748,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00746029248783992,"contrast",0.00746029248783992,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ascidiaceihabitans",NA,"Ascidiaceihabitans",9.06500238150074
