"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV654","DESeq2",60.4057744673905,6.18064680414728,2.21367520516198,2.3532481280008,0.0186102109984101,0.0431541124600814,"deseq2",0.0431541124600814,6.18064680414728,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,FALSE,TRUE,"DESeq2 + LEfSe",0,0.00748406172041024,"contrast",0.00748406172041024,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Pelagibacterium","halotolerans","Pelagibacterium",1.36497781098894
"ASV658","DESeq2",20.7719544215383,-5.11453052030439,1.706413178272,-2.99725452717351,0.00272423156376299,0.0080717972259644,"deseq2",0.0080717972259644,-5.11453052030439,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00112650486036228,0,"control",0.00112650486036228,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS7 marine group",NA,NA,NA,2.09302975667586
"ASV66","DESeq2",91.3198845070286,5.60276674707592,1.46313084228705,3.77046298980369,0.000162944967221386,0.00130355973777109,"deseq2",0.00130355973777109,5.60276674707592,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.000205502480157111,0.0107641134620715,"contrast",0.0107641134620715,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA,"Vibrio",2.88486906177998
"ASV67","DESeq2",67.3486768608033,-1.35065742912643,2.19215516681506,-1.44508529837199,0.148433927934704,0.249722982505745,"deseq2",0.249722982505745,-1.35065742912643,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.0032637447023726,0,"control",0.0032637447023726,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Glaciecola",NA,"Glaciecola",0.602541486819187
"ASV69","DESeq2",48.9780455314559,2.30328221321346,0.326796248721503,7.05273234824794,1.75438116626533e-12,7.01752466506131e-11,"deseq2",7.01752466506131e-11,2.30328221321346,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00117153492489428,0.00337244756537005,"contrast",0.00337244756537005,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA,NA,10.1538160522409
"ASV71","DESeq2",48.6110092363899,-0.146923151452756,0.792552409724064,-0.185350408196299,0.852954202896486,0.897846529364722,"deseq2",0.897846529364722,-0.146923151452756,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00223866269551882,0.00110874988450522,"control",0.00223866269551882,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,0.0467978917805143
"ASV72","DESeq2",141.909943391766,-7.41354395194422,1.63835718876557,-4.37554685478873,1.21128418618394e-05,0.000161504558157859,"deseq2",0.000161504558157859,-7.41354395194422,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00738288071955279,0,"control",0.00738288071955279,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA,NA,3.79181521602718
"ASV726","DESeq2",25.2593185775662,-5.32981635715831,1.70635044970503,-3.12358017068462,0.00178665184405371,0.00635253988996874,"deseq2",0.00635253988996874,-5.32981635715831,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00128744368585416,0,"control",0.00128744368585416,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,2.1970525991719
"ASV73","DESeq2",81.3366685749104,0.395139948556462,0.352529801819021,1.12110701334217,0.262242313729392,0.349656418305856,"deseq2",0.349656418305856,0.395139948556462,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00326343410074422,0.00249468724013675,"control",0.00326343410074422,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5 marine group",NA,"NS5 marine group",0.456358495425363
"ASV74","DESeq2",108.283652007688,0.0670040773398219,0.33622838179924,0.199288837788614,0.842036810204871,0.892224434654168,"deseq2",0.892224434654168,0.0670040773398219,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00443854236391731,0.00277187471126305,"control",0.00443854236391731,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,"Clade Ib",0.0495258872475494
"ASV742","DESeq2",26.2164585537356,-5.39101784769065,1.69916344621577,-3.1727844575463,0.00150984570979712,0.00570222118120012,"deseq2",0.00570222118120012,-5.39101784769065,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.0013629490236369,0,"control",0.0013629490236369,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4 marine group",NA,"NS4 marine group",2.2439559410231
"ASV76","DESeq2",42.7665306558527,-5.26044394190467,1.87287742803798,-2.74526574049084,0.00604619164901274,0.0158588633416728,"deseq2",0.0158588633416728,-5.26044394190467,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.0018379217562823,0,"control",0.0018379217562823,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,"Colwellia",1.79972794325609
"ASV782","DESeq2",56.4182041936171,-1.34884202181788,2.19197815057816,-1.39850497697355,0.161961479162101,0.261755925918548,"deseq2",0.261755925918548,-1.34884202181788,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00233135548896059,0,"control",0.00233135548896059,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA,NA,0.582103477501676
"ASV807","DESeq2",27.5423274720576,0.752336707838752,0.425557139880051,1.76961524607902,0.0767912573136955,0.136517790779903,"deseq2",0.136517790779903,0.752336707838752,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00103743413586945,0.00101635406079645,"control",0.00103743413586945,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,0.864810748373626
"ASV81","DESeq2",89.6747518582863,-1.3556524415889,2.19268697164945,-1.52157297515827,0.128116113327559,0.220414818628058,"deseq2",0.220414818628058,-1.3556524415889,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00389356935715507,0,"control",0.00389356935715507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA,"Pseudophaeobacter",0.656759210945235
"ASV82","DESeq2",41.3467267582731,-0.176024657818296,0.490248449456176,-0.358959347089462,0.719625501535923,0.78863068661471,"deseq2",0.78863068661471,-0.176024657818296,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00178617381580735,0.000923958237087684,"control",0.00178617381580735,"Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales",NA,NA,NA,NA,0.103126327987944
"ASV85","DESeq2",55.333908137106,-0.631846943511622,1.17747715483231,-0.536573688545941,0.591562122821896,0.666548870785235,"deseq2",0.666548870785235,-0.631846943511622,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00278961644035593,0.000923958237087684,"control",0.00278961644035593,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,0.176168002987915
"ASV9","DESeq2",528.739750441912,-1.17872487192892,2.12757814288834,-0.591758621707415,0.554012235155366,0.637711925358694,"deseq2",0.637711925358694,-1.17872487192892,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.0231811651015579,0.00392682250762266,"control",0.0231811651015579,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Glaciecola",NA,"Glaciecola",0.195375461530779
"ASV916","DESeq2",42.6539960009524,-1.34526309445993,2.19162654578971,-1.3249933551562,0.18517335524272,0.28216892227462,"deseq2",0.28216892227462,-1.34526309445993,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00171859091246325,0,"control",0.00171859091246325,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA,NA,0.549490820588334
"ASV92","DESeq2",31.2377403145211,-5.60797039577443,1.70254205549169,-3.29386957882339,0.000988183379006762,0.00427322542273194,"deseq2",0.00427322542273194,-5.60797039577443,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00170609763092198,0,"control",0.00170609763092198,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Coraliomargarita",NA,"Coraliomargarita",2.36924419651903
"ASV95","DESeq2",43.0906138182984,-5.96551098496883,1.70663549223942,-3.4955129077307,0.000473151567297585,0.00261049140577978,"deseq2",0.00261049140577978,-5.96551098496883,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00221782752537069,0,"control",0.00221782752537069,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,"Clade Ib",2.58327773222862
"ASV954","DESeq2",30.9972302875035,-1.44545562216391,2.20177503442813,-1.28362843477858,0.199271995614779,0.295217771281154,"deseq2",0.295217771281154,-1.44545562216391,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00193652598995335,0,"control",0.00193652598995335,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae","OM60(NOR5) clade",NA,"OM60(NOR5) clade",0.529857502753343
"ASV971","DESeq2",21.3146704639314,-1.41843391726644,2.19956748681234,-1.17590050062076,0.239634638808369,0.324928323807958,"deseq2",0.324928323807958,-1.41843391726644,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00128731245561897,0,"control",0.00128731245561897,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.488212429814275
"ASV998","DESeq2",22.0331665203964,-1.44588540244857,2.20195028060045,-1.1946971301724,0.232205384124304,0.317545824443493,"deseq2",0.317545824443493,-1.44588540244857,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.001322626741154,0,"control",0.001322626741154,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,0.498193593625812
