"TaxaID","rab.all","rab.win.control","rab.win.S-2","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",4.99591042513747,4.78263833575261,6.02488269168329,1.25912594452311,0.422912046610388,3.16276201104151,0.000547999460257121,0.061623096240982,0.264208666152314,0.0015625,0.00447048611111111,"ALDEx2",0.264208666152314,3.16276201104151,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",1.9462261938234,1.9462261938234,2.11922295407813,0.340647201519481,3.50223192979941,0.0706905856568402,0.492187539745284,0.757848376919591,1,0.793749999999998,0.999524155592469,"ALDEx2",1,0.0706905856568402,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",4.03879764803408,3.86186926479263,4.76623410366816,0.963236676488121,0.587331646733132,1.45516921911875,0.0937560784418437,0.255772028913012,0.664355493616596,0.0828125,0.207511290275376,"ALDEx2",0.664355493616596,1.45516921911875,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",4.58381123662793,4.22246371380727,6.19473635873083,2.06891999476966,0.693904029117107,3.00539631255357,0.000547999460257121,0.0314959439715356,0.194112296848713,0,0,"ALDEx2",0.194112296848713,3.00539631255357,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",4.15362577001416,3.9128527703279,5.35957594789892,1.47215300710111,0.587681349319464,2.3281774143774,0.000547999460257121,0.13330776215728,0.448612647665393,0.0015625,0.00473345588235294,"ALDEx2",0.448612647665393,2.3281774143774,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",4.1592825389446,3.79374342376602,5.23107705323322,1.42351362029385,0.46969805316516,2.92169008551621,0.000547999460257121,0.0503051776192274,0.241275871586308,0,0,"ALDEx2",0.241275871586308,2.92169008551621,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV13",3.44577265646201,3.1857563721208,4.53393412388877,1.60067198801835,1.03037888033179,1.63501685431868,0.00782930484115282,0.120110565712929,0.415597416270786,0.0109375,0.0275598698781838,"ALDEx2",0.415597416270786,1.63501685431868,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",2.69419498006542,2.48978241719708,4.21030531575948,1.74315150259202,0.411462601275097,4.04694656434609,0.000547999460257121,0.0789749830393088,0.302067553700915,0.0015625,0.00447048611111111,"ALDEx2",0.302067553700915,4.04694656434609,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV21",1.86472843118438,1.02197023290526,4.24983210546234,3.22356346256864,1.04218792154255,2.91646022231602,0.000547999460257121,0.0422355786484131,0.219641291395116,0,0,"ALDEx2",0.219641291395116,2.91646022231602,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA
"ASV24",3.17814611337077,3.52586459112076,-2.96794152874418,-7.54671054910687,3.05137379896016,-2.45549555178795,0.000547999460257121,0.0955034498751944,0.458703412454672,0.2,0.531993710124935,"ALDEx2",0.458703412454672,-2.45549555178795,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV27",2.30284826283964,2.30284826283964,3.35872322981845,-0.991732582026684,6.0637907677974,-0.286035156805613,0.375000678151136,0.729979564622287,1,0.843749999999999,1,"ALDEx2",1,-0.286035156805613,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
"ASV30",-1.15841631181955,2.54809352338821,-2.95473198526067,-4.65898426998221,5.63639571178726,-0.765935632128095,0.224808178412025,0.481254897470986,0.878584990745077,0.624999999999999,0.925799452071302,"ALDEx2",0.878584990745077,-0.765935632128095,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV34",2.70110144224612,1.91655748899029,3.79219517167894,1.72970603423812,0.705561529636649,2.37775225119836,0.00789046640005469,0.0658529737022871,0.276192859402649,0.003125,0.0090831180445151,"ALDEx2",0.276192859402649,2.37775225119836,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV37",2.17867250022786,1.71770837985007,5.99691151094115,4.22361169763888,0.607242111995016,6.74048771745898,0.000547999460257121,0.0222567728580662,0.152753536085416,0,0,"ALDEx2",0.152753536085416,6.74048771745898,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV39",2.0186038808761,1.50587798844708,4.10813630984483,2.58662605478155,0.838590207993327,2.99271570964788,0.000547999460257121,0.0749942618778967,0.302055696613554,0,0,"ALDEx2",0.302055696613554,2.99271570964788,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
