"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.Dor-out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV111","DESeq2",64.3784206652951,-4.78803607199293,2.87130112697429,-1.66754926086016,0.0954052377648584,0.108324697045516,"deseq2",0.108324697045516,-4.78803607199293,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV111","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.999216933889419,-0.314027760027919,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,2.03576899416345,2.99442135650227,0.529218911910749,-1.64610608120022,6.9971946634354,-0.314027760027919,0.265626527726068,0.828131967023197,0.999216933889419,0.717187499999999,0.956750985006729,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1133","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.944418119447544,-0.460070113535738,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,2.72179454640219,3.23236020458399,1.06805078496552,-1.61099381630831,3.54917665991528,-0.460070113535738,0.218752092515224,0.499672808906346,0.944418119447544,0.449999999999999,0.828215528765979,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1133","DESeq2",70.790839908863,-5.24886251297558,1.47161165849954,-3.56674431237337,0.000361443832877935,0.000547185802551318,"deseq2",0.000547185802551318,-5.24886251297558,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1158","DESeq2",23.737833137198,7.91984733155026,1.34828528783453,5.87401450049958,4.2536614085824e-09,1.44890341729838e-08,"deseq2",1.44890341729838e-08,7.91984733155026,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV1158","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.109681500647199,4.49632741916768,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA,-3.33743642093371,-5.54474853314953,5.50125709104556,11.1715574903047,2.58822078167039,4.49632741916768,0.000547999460257121,0.0182190412339392,0.109681500647199,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV1158","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,4.01286226066056,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1158",4.01286226066056,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE
"ASV116","DESeq2",63.6546749779267,-23.3148750919814,4.40851036895039,-5.28860615962038,NA,NA,"deseq2",NA,-23.3148750919814,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV116","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.944149867857396,-0.274820608897706,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,-3.6401848550109,-3.77886188487306,-3.38025417894033,-1.44073960529908,7.03501866793558,-0.274820608897706,0.449612658010657,0.735175208862927,0.944149867857396,0.73125,0.949985093002302,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1179","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.431452849063222,2.42348373827189,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA,1.94026659250952,1.47750923840272,4.16512929805637,2.702356656392,1.07535235453841,2.42348373827189,0.000547999460257121,0.136232149334963,0.431452849063222,0.003125,0.00897435897435897,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1179","DESeq2",33.5371224115052,-0.941814668697499,0.675555859255689,-1.39413292889676,0.163277467092406,0.183476741371879,"deseq2",0.183476741371879,-0.941814668697499,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
