"TaxaID","rab.all","rab.win.control","rab.win.Dor-out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV51",2.03744738928086,2.27988260875632,-3.19030506668921,-5.46346196048804,2.86926061818719,-1.98653520240394,0.000547999460257121,0.152545819254046,0.507593265817498,0.2,0.461656145930385,"ALDEx2",0.507593265817498,-1.98653520240394,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV53",2.24820105318081,3.18357631485157,-3.3254415093229,-7.97352375743106,4.28815198747468,-2.03361422312489,0.000547999460257121,0.0768166859511985,0.385761928957699,0.2,0.461656145930385,"ALDEx2",0.385761928957699,-2.03361422312489,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV56",0.52370626457178,2.82562932959602,-2.9136895147029,-5.83112826792864,3.27763319816343,-1.76664694092307,0.000547999460257121,0.116786870098194,0.466205976970394,0.20625,0.472585254896132,"ALDEx2",0.466205976970394,-1.76664694092307,FALSE,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA
"ASV62",-0.878552345805164,2.05005409436907,-3.02020924846673,-4.7333249972602,3.7122128554975,-1.22363349725187,0.0781324454049968,0.185507708584373,0.57736217011574,0.2875,0.585257341584494,"ALDEx2",0.57736217011574,-1.22363349725187,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas",NA
"ASV64",3.15640995228398,0.420670656107172,4.11747302962409,3.36643539334635,2.15861070868004,1.2717244003734,0.100780707861439,0.148034544597161,0.469347867089443,0.1234375,0.342640013495277,"ALDEx2",0.469347867089443,1.2717244003734,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV66",3.61571525833984,3.32419879314878,6.66885618630544,3.36397308415128,2.40316614548578,2.53744491953727,0.000547999460257121,0.0520284121182247,0.217529367681394,0,0,"ALDEx2",0.217529367681394,2.53744491953727,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA
"ASV72",-1.50463903556223,1.39447858435984,-3.08041951863511,-4.1708456423531,4.7141386368288,-0.699495417763065,0.232560015435696,0.428675734594119,0.783760989062457,0.567187499999999,0.836495114934554,"ALDEx2",0.783760989062457,-0.699495417763065,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA
"ASV76",5.32778277725313,5.71212452068801,-2.93328806845452,-8.66098246005976,2.52400277148044,-3.53575710559781,0.000547999460257121,0.0810490048429621,0.359227007776027,0.2,0.461656145930385,"ALDEx2",0.359227007776027,-3.53575710559781,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV81",2.10518484997649,2.51379807801987,-3.00437721735168,-6.13511123168074,2.9601301972119,-2.16561650076966,0.000547999460257121,0.0955035709389273,0.41608568785001,0.2,0.461656145930385,"ALDEx2",0.41608568785001,-2.16561650076966,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV92",-0.056356011906324,2.7728631311561,-2.93768225713516,-5.40241503901132,3.07242278151328,-1.59264772383388,0.0156646691693825,0.127926812646575,0.483419176681585,0.228125,0.510451830715579,"ALDEx2",0.483419176681585,-1.59264772383388,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Coraliomargarita",NA
"ASV111",2.03576899416345,2.99442135650227,0.529218911910749,-1.64610608120022,6.9971946634354,-0.314027760027919,0.265626527726068,0.828131967023197,0.999216933889419,0.717187499999999,0.956750985006729,"ALDEx2",0.999216933889419,-0.314027760027919,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV116",-3.6401848550109,-3.77886188487306,-3.38025417894033,-1.44073960529908,7.03501866793558,-0.274820608897706,0.449612658010657,0.735175208862927,0.944149867857396,0.73125,0.949985093002302,"ALDEx2",0.944149867857396,-0.274820608897706,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA
"ASV141",0.923796895668817,1.93463460203071,-3.22498494347173,-5.0700635108824,2.64258678767983,-1.96379292177978,0.000547999460257121,0.157101981161014,0.501540345560436,0.203125,0.466456509395294,"ALDEx2",0.501540345560436,-1.96379292177978,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV160",3.95429951982944,3.565909721481,6.13708143313703,2.54656098244229,0.476319471312871,5.34104349405253,0.000547999460257121,0.0188616364701967,0.107056475779403,0,0,"ALDEx2",0.107056475779403,5.34104349405253,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","dokdonensis"
"ASV169",4.51181326308879,0.184222910573038,5.98666255183444,5.77194914214144,4.43160967583917,1.28908216710485,0.000547999460257121,0.157609942236568,0.490896667291306,0,0,"ALDEx2",0.490896667291306,1.28908216710485,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea","eurytherma"
"ASV175",3.9801418428816,4.52062085185334,-3.22540733622902,-7.78429155986779,2.23932018457186,-3.52386603905714,0.000547999460257121,0.093062861188473,0.388081304745956,0.2,0.461656145930385,"ALDEx2",0.388081304745956,-3.52386603905714,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV180",2.99011251780136,2.99325323124857,1.98023257376448,-0.591956844600682,4.45063642467364,-0.172775428205337,0.434108862921588,0.666593550857897,0.999570510449327,0.885937499999999,0.995206838118022,"ALDEx2",0.999570510449327,-0.172775428205337,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
"ASV223",3.2037871305679,3.55772015340511,-3.5471107364302,-7.41197888739877,2.53581690535466,-2.92245126052544,0.000547999460257121,0.0961109779261546,0.391023011398699,0.2,0.461656145930385,"ALDEx2",0.391023011398699,-2.92245126052544,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella",NA
"ASV236",-1.7983976842291,3.95968364734901,-3.24844679514647,-6.6621907555478,6.84555736294759,-0.759499587792637,0.263567416398401,0.414883880750883,0.809857468142061,0.656249999999999,0.912652569629328,"ALDEx2",0.809857468142061,-0.759499587792637,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA
"ASV248",-1.49963392511963,1.55715836428773,-3.19987385049135,-3.92544000720421,4.87600511644384,-0.784191890692164,0.203127332012097,0.412282125499567,0.78112816214621,0.5421875,0.819849872173234,"ALDEx2",0.78112816214621,-0.784191890692164,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","australica"
"ASV256",-3.36554078227952,-3.68684450275036,-3.13340264433511,-0.202398669455343,6.82955002643201,-0.0235391682015938,0.488372151282746,0.798337671551191,0.966518729926986,0.6859375,0.973730884411279,"ALDEx2",0.966518729926986,-0.0235391682015938,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter",NA
"ASV319",2.95341935901972,3.49758299888486,-3.01385248864557,-6.75447864831276,2.28403927552417,-3.0543735854846,0.000547999460257121,0.110488995315115,0.423247262527215,0.2,0.461656145930385,"ALDEx2",0.423247262527215,-3.0543735854846,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA
"ASV343",-3.44313056682665,-3.64499038882015,-3.28836292708132,-1.27994958009761,6.81980901629643,-0.162757843446368,0.460937699897913,0.731053223016964,0.941430845236116,0.7109375,0.946897559491968,"ALDEx2",0.941430845236116,-0.162757843446368,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV346",2.34497612736877,0.994325314755677,3.97477070628095,2.88208071990214,1.40250847278452,2.22537602997821,0.000547999460257121,0.0680846497234686,0.261022205139301,0,0,"ALDEx2",0.261022205139301,2.22537602997821,FALSE,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopumilus",NA
"ASV347",-1.57644183457491,0.416929097547893,-3.14513793434,-3.80907978902487,5.35843585776519,-0.700888022799373,0.218752092515224,0.440149868310115,0.793272443922743,0.5578125,0.81966831789719,"ALDEx2",0.793272443922743,-0.700888022799373,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","genovensis"
"ASV354",2.55419430777779,1.74207781179435,5.35163810171719,3.57869129279113,1.7007864129884,2.44271775555249,0.000547999460257121,0.134324387584607,0.430919396625714,0,0,"ALDEx2",0.430919396625714,2.44271775555249,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA
"ASV383",3.0748462460962,3.53905255147531,-3.14710267882099,-6.76460616397763,2.71356089902528,-2.39159807576057,0.000547999460257121,0.112512404640207,0.419708009685009,0.2,0.461656145930385,"ALDEx2",0.419708009685009,-2.39159807576057,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA
"ASV424",-3.52333272368097,-3.74847370090539,-3.29967282948983,-0.346919872205931,6.76622438805088,-0.0755624443058722,0.46875015956559,0.763151294591728,0.953193570945701,0.6953125,0.957664914599624,"ALDEx2",0.953193570945701,-0.0755624443058722,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter","arcticus"
"ASV441",2.28532347543012,-4.5427946237646,6.12479383521985,10.9776546017615,6.11661723919582,1.79457399228948,0.000547999460257121,0.0876400353278075,0.311998069594879,0,0,"ALDEx2",0.311998069594879,1.79457399228948,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA
"ASV442",0.465306106357653,3.11054417515838,-2.9404872098996,-5.70761779530729,3.2462945269794,-1.71124703826741,0.0155432426385351,0.11438210377956,0.460668484386835,0.2125,0.481700894173409,"ALDEx2",0.460668484386835,-1.71124703826741,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia","meonggei"
"ASV457",-3.73144387820196,-5.78041411223764,6.2284727316652,11.8401151114378,2.88318057786134,4.02233600714089,0.000547999460257121,0.0174182790186372,0.106448458959186,0,0,"ALDEx2",0.106448458959186,4.02233600714089,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA
"ASV479",1.87259721460451,2.90392402611155,-3.12000381002732,-5.95473961680208,2.45935104667038,-2.24596307165079,0.000547999460257121,0.134504530264494,0.470241245128732,0.2,0.461656145930385,"ALDEx2",0.470241245128732,-2.24596307165079,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea",NA
"ASV495",0.705699050595609,-3.47679184168786,5.40149715841438,9.18851288799954,3.81746720182869,2.3247879306391,0.000547999460257121,0.0640143454631347,0.249328965039714,0,0,"ALDEx2",0.249328965039714,2.3247879306391,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Oleiphilus",NA
"ASV506",-1.4580321144898,2.92983193200392,-2.87827702237131,-4.39345117959398,6.49730161478247,-0.607126382068966,0.294574880995797,0.527340617229192,0.8729612472945,0.682812499999999,0.928232001234791,"ALDEx2",0.8729612472945,-0.607126382068966,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA
"ASV523",1.75880281612778,2.14000512660016,-3.46030291059507,-5.81896002900901,2.59531393666204,-2.30017995830797,0.000547999460257121,0.122027420633767,0.454302059973636,0.2,0.461656145930385,"ALDEx2",0.454302059973636,-2.30017995830797,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia","aquaemaris"
"ASV537",-3.39522573172496,-5.56192741752137,6.7689102851879,12.3895597544259,2.9099970250892,4.41059698658073,0.000547999460257121,0.0134414197906031,0.090166257622321,0,0,"ALDEx2",0.090166257622321,4.41059698658073,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria",NA
"ASV543",1.12949689315999,1.96722994176137,-3.47587561520922,-5.54021879970454,3.14625604424243,-1.70003166840819,0.000547999460257121,0.147378988074005,0.487513626027831,0.2015625,0.46433327958578,"ALDEx2",0.487513626027831,-1.70003166840819,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Dokdonia","lutea"
"ASV566",1.67979078165475,2.06071138725023,-0.128209320618805,-2.20942451810036,2.6294712930268,-0.941456366497411,0.0546984444258801,0.343794808079411,0.766304868716158,0.278125,0.552726998812267,"ALDEx2",0.766304868716158,-0.941456366497411,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Psychrobium",NA
"ASV578",-3.510000076548,-5.48046312525447,7.12988682589323,12.8948858760583,2.35356929227847,5.35513334867661,0.000547999460257121,0.0141842215372476,0.0977170651648653,0,0,"ALDEx2",0.0977170651648653,5.35513334867661,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Actibacter",NA
"ASV579",3.38849882930607,2.80756356311725,3.78958895259087,1.09898194348382,2.18493390262463,0.637539200060591,0.124035339300607,0.343291316465402,0.918442205935564,0.153125,0.402282631503815,"ALDEx2",0.918442205935564,0.637539200060591,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA
"ASV582",0.702732628558264,1.21527008934514,-3.18818803591279,-5.4797064259244,3.29968687107531,-1.69748677772218,0.00782930484115282,0.130405366944108,0.479722119897342,0.2109375,0.476138431232918,"ALDEx2",0.479722119897342,-1.69748677772218,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Oleiphilus",NA
"ASV651",2.27385066976961,2.58999643809327,-3.1534254853944,-5.76351099762733,2.78887157078258,-2.26193159796125,0.000547999460257121,0.122060720807349,0.432021823706486,0.2,0.461656145930385,"ALDEx2",0.432021823706486,-2.26193159796125,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA
"ASV691",1.68729080082352,0.886860221040427,5.43383115756727,4.54247771502151,0.822861984752552,5.67940551753679,0.000547999460257121,0.00908099134618877,0.0788174795671437,0,0,"ALDEx2",0.0788174795671437,5.67940551753679,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Dokdonia",NA
"ASV714",2.42361228744069,3.2381246111545,0.708192147072493,-2.65296839943365,2.78912366092634,-1.02135156132388,0.0542744309441129,0.367238856822579,0.804020975907911,0.2703125,0.578322028079534,"ALDEx2",0.804020975907911,-1.02135156132388,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA
"ASV725",0.544236995469595,-3.74587082703147,5.6995142692444,9.4568630210328,3.74751168633785,2.48323135622127,0.000547999460257121,0.0509098121232091,0.212944517631011,0,0,"ALDEx2",0.212944517631011,2.48323135622127,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"ASV785",-3.45683542015128,-5.49667924549349,4.97929343249218,10.4341596113623,2.40952962133959,4.68277277352667,0.000547999460257121,0.0191483724488067,0.109881902120369,0,0,"ALDEx2",0.109881902120369,4.68277277352667,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Psychrosphaera",NA
"ASV795",3.15086745189525,3.39232753958849,-3.36833197304867,-6.75131555936161,2.5494136199282,-2.75075014146009,0.000547999460257121,0.109818016001169,0.426084101380342,0.2,0.461656145930385,"ALDEx2",0.426084101380342,-2.75075014146009,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fabibacter",NA
"ASV814",-2.87898609025452,-4.58298282257355,5.62077575222994,10.2644959307815,2.24258161974227,4.26409181195493,0.000547999460257121,0.0179129361934617,0.109589144200396,0,0,"ALDEx2",0.109589144200396,4.26409181195493,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Oleiphilus",NA
"ASV829",-0.0387441287893555,0.667880842617602,-3.40304909468535,-4.6104144829683,3.57062068924738,-1.29256727263527,0.0155432426385351,0.16896309325329,0.534928960323345,0.2421875,0.515276852409698,"ALDEx2",0.534928960323345,-1.29256727263527,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea",NA
"ASV831",-3.4132316962059,-5.66488401129758,7.10711647610638,12.829315528584,2.68454386867908,5.27771479806521,0.000547999460257121,0.0161488637213722,0.1030766503399,0,0,"ALDEx2",0.1030766503399,5.27771479806521,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae",NA,NA
"ASV853",2.84386139599393,2.3188857032945,3.18046554090514,0.952275803756489,1.20904427282436,0.83599303801026,0.162793794907465,0.285296341419198,0.7395473999872,0.2015625,0.473165424538772,"ALDEx2",0.7395473999872,0.83599303801026,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA
"ASV855",-3.46742195347449,-5.97928297014276,6.58467095598181,12.6219579593598,2.96049994866979,4.55572759967453,0.000547999460257121,0.0190147405895392,0.110839376717207,0,0,"ALDEx2",0.110839376717207,4.55572759967453,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Robiginitalea",NA
"ASV861",1.16336427909313,1.59419962854375,-2.96657514806577,-5.02440082555908,2.58070997308964,-1.81625408181504,0.00782930484115282,0.126038961581967,0.449585469181325,0.2015625,0.464414223156547,"ALDEx2",0.449585469181325,-1.81625408181504,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aestuariibacter",NA
"ASV882",1.33129369380484,2.05387003073444,-2.92759625340137,-5.12874783022707,2.72344551375676,-1.91648920322842,0.000547999460257121,0.128030778056694,0.456209400231145,0.2015625,0.464455571689204,"ALDEx2",0.456209400231145,-1.91648920322842,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Dokdonia",NA
"ASV889",-2.24931236485717,-3.66795316081546,1.1508718754723,2.31184521917504,7.00580406200019,0.329719305076312,0.418605069853666,0.639930936418564,0.978529203022254,0.578125,0.987880206805653,"ALDEx2",0.978529203022254,0.329719305076312,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Oleiphilus",NA
"ASV890",-3.4962778147171,-5.5075547408715,6.38518606781622,11.9104660783926,2.4179581752964,5.0995384084959,0.000547999460257121,0.0146571486319215,0.096705212196383,0,0,"ALDEx2",0.096705212196383,5.0995384084959,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutimonas",NA
"ASV901",2.0846702509016,1.49691642135263,4.63789272985463,3.36908183607236,3.83896321888231,1.60191897685585,0.000547999460257121,0.181117731555914,0.548565004178556,0,0,"ALDEx2",0.548565004178556,1.60191897685585,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA
