"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV376","DESeq2",41.6234139410446,0.0440635066727016,0.510702481479437,0.0862841289884353,0.931240554652955,0.953772422773422,"deseq2",0.953772422773422,0.0440635066727016,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV378","DESeq2",46.6077496916222,0.13717126613373,0.407719420197166,0.336486293327515,0.736504185968492,0.801637209217407,"deseq2",0.801637209217407,0.13717126613373,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV379","DESeq2",32.9495706601102,-0.535416465999128,0.496047617015268,-1.07795599020768,0.281053396806106,0.362649544265943,"deseq2",0.362649544265943,-0.535416465999128,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","OCS116 clade",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV383","DESeq2",79.8036542639204,-2.96424287716168,2.14628657113888,-2.06970269581898,0.0384801941538406,0.0779345704381581,"deseq2",0.0779345704381581,-2.96424287716168,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV384","DESeq2",41.0940906280764,0.215398928386636,2.1966940181008,0.0966896998078977,0.922972819865407,0.952746136635259,"deseq2",0.952746136635259,0.215398928386636,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV386","DESeq2",48.9686988868571,-6.12024264947729,1.70641451920713,-3.58662586282425,0.0003349844133963,0.00214390024573632,"deseq2",0.00214390024573632,-6.12024264947729,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV39","DESeq2",183.119188652734,0.812853447186133,0.202971064476912,4.0053902119826,6.19151862054848e-05,0.000561907720654993,"deseq2",0.000561907720654993,0.812853447186133,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV393","DESeq2",36.1727999512602,-5.75881737185574,1.71373870984639,-3.36034714642932,0.000778445925063416,0.00355860994314705,"deseq2",0.00355860994314705,-5.75881737185574,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV399","DESeq2",66.6075008837034,1.05135683864489,0.381880789911122,2.75439801083896,0.00588002131219528,0.0156800568325207,"deseq2",0.0156800568325207,1.05135683864489,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV4","DESeq2",1713.65883748449,-4.35886451870587,0.39310249342918,-11.0613797573683,1.93103875359957e-28,1.54483100287966e-26,"deseq2",1.54483100287966e-26,-4.35886451870587,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV40","DESeq2",286.933326912916,0.248281086366112,0.32447904000183,0.765199614166438,0.444152689403339,0.526403187440994,"deseq2",0.526403187440994,0.248281086366112,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV402","DESeq2",37.4574899909072,-3.95195587514587,2.03816099109049,-2.11902891018219,0.0340880237926813,0.0717642606161712,"deseq2",0.0717642606161712,-3.95195587514587,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV412","DESeq2",40.1829093103818,0.568372155327569,0.44653336007045,1.27358063826726,0.202812077630822,0.297705802026895,"deseq2",0.297705802026895,0.568372155327569,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV416","DESeq2",44.1159095122081,-0.98028226975497,0.790034006602759,-1.23831520130589,0.215599209428198,0.302595381653611,"deseq2",0.302595381653611,-0.98028226975497,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV42","DESeq2",26.6916507372572,-3.16231233704189,2.12225230913853,-1.77858833052752,0.0753072786699023,0.135383871766116,"deseq2",0.135383871766116,-3.16231233704189,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV420","DESeq2",27.1944709706865,-1.44977862490977,2.20218017801086,-1.2510149953577,0.210929006560269,0.298660540262328,"deseq2",0.298660540262328,-1.44977862490977,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV424","DESeq2",32.3494986435377,1.14991665827782,2.17692188949939,0.501731651518985,0.615856296847428,0.68428477427492,"deseq2",0.68428477427492,1.14991665827782,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter","arcticus",NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV437","DESeq2",24.6414280407423,-5.26164029225023,1.73986386095223,-3.02405343381572,0.00249412382925035,0.00760502143577633,"deseq2",0.00760502143577633,-5.26164029225023,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV448","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.146793087308571,3.73073092090474,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS3a marine group",NA,"ASV448",3.73073092090474,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE
"ASV448","DESeq2",59.8094286221573,3.15642436256183,2.124340939733,1.37338313215931,0.169633270799516,0.268725973543789,"deseq2",0.268725973543789,3.15642436256183,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS3a marine group",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV45","DESeq2",218.097762914071,-1.17287740145644,0.348634656115,-3.36215139197813,0.00077337709758546,0.00355860994314705,"deseq2",0.00355860994314705,-1.17287740145644,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
