"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.Dor-in","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV347","DESeq2",27.5929461959294,-7.9967704135926,3.8465284835178,-2.07895780516338,0.0376212288921258,0.0481201764899283,"deseq2",0.0481201764899283,-7.9967704135926,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","genovensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV347","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.799717234337093,-0.710097619003165,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","genovensis",-1.54701751276966,0.325511719806134,-3.07032739188734,-4.27080041617796,4.39382536435323,-0.710097619003165,0.201552709217163,0.429488420184064,0.799717234337093,0.581249999999999,0.858460990312633,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV354","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.418428765161322,2.49402982794805,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,2.514901367779,1.84628545283526,5.53981868631873,3.60060958057593,2.8532994209132,2.49402982794805,0.000547999460257121,0.1296322762001,0.418428765161322,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV354","DESeq2",56.8822190095475,1.30345902395457,1.86159352377322,0.700184550122746,0.483812058887503,0.526924024530943,"deseq2",0.526924024530943,1.30345902395457,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV354","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,3.86075170689118,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV354",3.86075170689118,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE
"ASV37","DESeq2",37.914856326641,-3.59658647206474,1.55111586196672,-2.31870910500811,0.0204108145048317,0.0287844819939934,"deseq2",0.0287844819939934,-3.59658647206474,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV37","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.92584547322376,-0.538064759904107,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,2.27212795333516,2.38111872723206,1.31954691985403,-1.10975984013185,3.61032709167554,-0.538064759904107,0.226564484085857,0.490503101221648,0.92584547322376,0.575,0.787766425364863,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV383","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.407676922377903,-2.66636353579789,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA,3.01319872345601,3.65794734640839,-3.33336737706796,-7.47074116672097,2.43705757933838,-2.66636353579789,0.000547999460257121,0.105623108962475,0.407676922377903,0.2,0.461206966504706,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV383","DESeq2",97.6901216323595,-9.81324762750703,1.71263206520161,-5.72992169590836,1.00477005695131e-08,8.50190048189568e-08,"deseq2",8.50190048189568e-08,-9.81324762750703,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV39","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.506074304344117,-2.12751478261636,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,1.77201486791808,2.15234726131006,-2.86311942059737,-5.04502970423431,2.64105157946453,-2.12751478261636,0.000547999460257121,0.158375156716995,0.506074304344117,0.2,0.461206966504706,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
