"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1415","DESeq2",36.6202870781116,-5.52927652574271,1.94873995820697,-2.83571028414666,0.0045723903030754,0.0129783717568778,"deseq2",0.0129783717568778,-5.52927652574271,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1498","DESeq2",23.8716881918826,-4.9909899528906,1.97620616539315,-2.52380246149834,0.0116093143564448,0.0220514153617301,"deseq2",0.0220514153617301,-4.9909899528906,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter","guineae",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV1510","DESeq2",32.8776974720903,-5.48423901800539,1.91093892150926,-2.86890997578334,0.00411889013226342,0.0122146397025743,"deseq2",0.0122146397025743,-5.48423901800539,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV160","DESeq2",86.1971684344729,-2.21231340290547,0.872502416052643,-2.52422343717974,0.0115954202733771,0.0220514153617301,"deseq2",0.0220514153617301,-2.21231340290547,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","dokdonensis",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV169","DESeq2",58.9270834422453,-0.46597622392585,2.23953512354919,-0.211168616843556,0.832755698688503,0.852583215323943,"deseq2",0.852583215323943,-0.46597622392585,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea","eurytherma",NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1733","DESeq2",32.3079903295126,-5.4790121760583,1.90353996735184,-2.8774121044316,0.00400951591830462,0.0122146397025743,"deseq2",0.0122146397025743,-5.4790121760583,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tateyamaria",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV175","DESeq2",170.090646902357,-7.40226818602325,1.79304085479083,-3.94158637068885,8.09444770036465e-05,0.0017403062555784,"deseq2",0.0017403062555784,-7.40226818602325,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV180","DESeq2",70.5121337484648,0.125651389333708,1.49877318319223,0.08382328356838,0.933196935555243,0.933196935555243,"deseq2",0.933196935555243,0.125651389333708,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1836","DESeq2",42.5335309566172,-2.5963653574974,2.33767748093464,-1.6274352495569,0.103644690153931,0.151075311071831,"deseq2",0.151075311071831,-2.5963653574974,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV2","DESeq2",37.839266790195,-5.74305884650693,1.86558195249992,-3.07765192143277,0.00208638459848132,0.0074762114778914,"deseq2",0.0074762114778914,-5.74305884650693,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
